epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,287.885,1.4378,4.21114,0.94841,0.98818,1.2583,0.85253,0.77877,0.81379,0.35291,0.5923,0.43005,0.36457,0.12112,2.02358,5.82986,0.79588,1.18871,1.48092,0.0014852,0.0014852,0.0014852
28,300.977,1.44771,4.29401,0.98744,0.98205,1.24917,0.84136,0.80311,0.81399,0.30014,0.63724,0.41969,0.42679,0.14143,2.23566,5.60478,0.77789,1.24706,1.57153,0.0014654,0.0014654,0.0014654
29,311.655,1.44839,4.24191,0.96136,0.94967,1.24714,0.79807,0.77815,0.76586,0.29595,0.42993,0.41969,0.24827,0.09751,2.01459,5.41545,0.77523,1.21767,1.47927,0.0014456,0.0014456,0.0014456
30,320.228,1.44892,3.98239,0.96191,0.97786,1.25152,0.82763,0.82383,0.83369,0.3714,0.4439,0.39896,0.24181,0.08847,1.90004,5.63271,0.77561,1.08899,1.40252,0.0014258,0.0014258,0.0014258
31,331.053,1.4503,3.85502,0.99173,0.96284,1.24002,0.87231,0.84953,0.85728,0.36653,0.43483,0.39378,0.25011,0.08743,1.92833,5.61008,0.78129,1.13271,1.39136,0.001406,0.001406,0.001406
32,341.711,1.41701,3.9159,0.98234,0.99568,1.23356,0.80913,0.79275,0.79417,0.31037,0.49207,0.49223,0.31365,0.11535,2.07461,5.28277,0.808,1.29304,1.49644,0.0013862,0.0013862,0.0013862
33,352.324,1.36547,3.49367,0.94322,0.93499,1.20355,0.89141,0.84456,0.84762,0.34359,0.56986,0.49741,0.39735,0.12323,1.94187,5.37405,0.79875,1.13521,1.44582,0.0013664,0.0013664,0.0013664
34,360.777,1.4098,3.74525,0.9686,0.92882,1.22952,0.84901,0.78665,0.77029,0.27802,0.57634,0.51455,0.36942,0.12808,2.1584,5.11933,0.79818,1.16252,1.56497,0.0013466,0.0013466,0.0013466
35,371.532,1.44351,3.81872,0.95889,0.93556,1.25819,0.86912,0.81347,0.82883,0.37188,0.56969,0.53368,0.38744,0.14383,1.79606,4.84291,0.77614,1.08992,1.4455,0.0013268,0.0013268,0.0013268
36,384.901,1.41735,3.41646,0.92401,0.97615,1.25299,0.72806,0.72021,0.67468,0.24426,0.39884,0.43657,0.25389,0.09543,2.06794,5.09626,0.78524,1.36325,1.50657,0.001307,0.001307,0.001307
37,395.667,1.41812,3.78786,0.97588,0.99781,1.25945,0.84235,0.80289,0.81818,0.3548,0.59572,0.60104,0.46552,0.16291,1.83823,4.53141,0.77076,1.24932,1.49484,0.0012872,0.0012872,0.0012872
38,408.923,1.42979,3.56843,0.95395,0.94633,1.24571,0.85594,0.86201,0.84403,0.30304,0.56908,0.54404,0.37567,0.14704,2.09824,4.50555,0.76845,1.03363,1.49487,0.0012674,0.0012674,0.0012674
39,419.583,1.38268,3.3802,0.93764,0.93344,1.21751,0.88791,0.86188,0.89018,0.43988,0.63705,0.6114,0.52301,0.20848,1.65359,4.40723,0.77097,1.10141,1.39051,0.0012476,0.0012476,0.0012476
40,429.905,1.35558,3.46872,0.9313,0.92485,1.2084,0.79581,0.72696,0.75411,0.26049,0.41646,0.41451,0.21355,0.09071,2.08685,5.00222,0.78904,1.31527,1.50509,0.0012278,0.0012278,0.0012278
41,440.087,1.36752,3.34716,0.93201,0.91053,1.19303,0.84311,0.8075,0.82786,0.32627,0.53796,0.51295,0.33056,0.10289,1.95967,4.70852,0.77781,1.14178,1.41489,0.001208,0.001208,0.001208
42,450.888,1.4047,3.37582,0.95766,0.9033,1.23009,0.81957,0.81865,0.80958,0.31592,0.54438,0.52332,0.33416,0.13956,2.01192,4.51637,0.76506,1.10902,1.46278,0.0011882,0.0011882,0.0011882
43,461.744,1.40598,3.49819,0.94966,0.91306,1.23112,0.87385,0.87047,0.86967,0.41529,0.71334,0.67358,0.60386,0.22942,1.74564,4.26545,0.75576,0.98985,1.39447,0.0011684,0.0011684,0.0011684
44,472.058,1.34118,3.10521,0.90653,0.9018,1.19973,0.81015,0.79275,0.78294,0.29302,0.5863,0.59585,0.44185,0.17217,2.03806,4.3344,0.76485,1.16418,1.51398,0.0011486,0.0011486,0.0011486
45,482.716,1.32624,3.21895,0.92908,0.89102,1.1833,0.85055,0.76671,0.80073,0.36343,0.69275,0.64249,0.55245,0.18381,1.82291,4.21674,0.78608,1.05398,1.38352,0.0011288,0.0011288,0.0011288
46,493.272,1.34752,3.24482,0.90311,0.87133,1.18207,0.85919,0.85364,0.82632,0.35521,0.67577,0.62694,0.5014,0.16402,1.83655,4.44178,0.76849,1.07785,1.36386,0.001109,0.001109,0.001109
47,503.272,1.33569,3.18017,0.96069,0.84246,1.19921,0.86687,0.84974,0.84175,0.39579,0.71954,0.68912,0.60364,0.19961,1.73337,4.22002,0.7563,1.0165,1.32583,0.0010892,0.0010892,0.0010892
48,513.563,1.3121,3.11337,0.94263,0.86196,1.19237,0.85255,0.80886,0.83882,0.39562,0.74491,0.68089,0.68227,0.31421,1.83584,4.32287,0.76224,1.05995,1.36601,0.0010694,0.0010694,0.0010694
49,525.426,1.31711,2.83884,0.93304,0.85683,1.18282,0.83357,0.83042,0.82426,0.36695,0.72145,0.71126,0.64067,0.25125,1.84228,4.10182,0.76476,1.02642,1.37682,0.0010496,0.0010496,0.0010496
50,536.076,1.23067,2.90147,0.88128,0.81861,1.13516,0.8703,0.84974,0.85449,0.39356,0.72346,0.67776,0.62051,0.26627,1.79658,4.05835,0.75436,0.9855,1.36125,0.0010298,0.0010298,0.0010298
51,546.844,1.26007,2.83695,0.90018,0.80981,1.15547,0.83065,0.81324,0.79777,0.36726,0.76678,0.72021,0.68788,0.26681,1.91422,4.08678,0.77865,1.0806,1.42113,0.00101,0.00101,0.00101
52,555.975,1.32469,2.90511,0.90134,0.8171,1.1841,0.85313,0.84275,0.82492,0.37933,0.72778,0.67358,0.6321,0.25635,1.8843,4.07247,0.75756,1.01995,1.39231,0.0009902,0.0009902,0.0009902
53,566.317,1.27108,2.98335,0.90361,0.80317,1.15236,0.8731,0.82383,0.83371,0.36721,0.74584,0.69943,0.62727,0.26135,1.90816,3.82622,0.75409,1.12689,1.39428,0.0009704,0.0009704,0.0009704
54,577.006,1.24181,2.83713,0.92653,0.80381,1.13818,0.83202,0.84456,0.86196,0.42439,0.76447,0.68912,0.67654,0.28545,1.83218,3.89954,0.76323,1.05974,1.39355,0.0009506,0.0009506,0.0009506
55,592.223,1.21357,2.88563,0.87013,0.77036,1.14283,0.89495,0.83871,0.88328,0.47297,0.82017,0.70896,0.70663,0.32977,1.67154,3.97614,0.75222,0.95089,1.33186,0.0009308,0.0009308,0.0009308
56,601.882,1.21412,2.57895,0.85772,0.74281,1.1268,0.83815,0.8318,0.8571,0.43767,0.77438,0.6943,0.66685,0.28813,1.7581,3.68127,0.75185,0.93776,1.35497,0.000911,0.000911,0.000911
57,614.678,1.26884,2.64555,0.88988,0.79048,1.15761,0.80964,0.82902,0.82891,0.40557,0.79082,0.73057,0.69961,0.27517,1.81474,3.71452,0.76587,1.01953,1.40989,0.0008912,0.0008912,0.0008912
58,627.091,1.27723,2.66986,0.88782,0.81009,1.175,0.87137,0.86528,0.87821,0.46577,0.81077,0.75648,0.74365,0.34619,1.65429,3.55398,0.74297,0.90787,1.37381,0.0008714,0.0008714,0.0008714
59,643.691,1.23436,2.76564,0.8904,0.79099,1.14576,0.88037,0.8342,0.87135,0.41162,0.80166,0.74611,0.69058,0.31545,1.71163,3.31313,0.73987,0.97323,1.37461,0.0008516,0.0008516,0.0008516
60,655.163,1.21075,2.56271,0.86509,0.76425,1.13464,0.86737,0.82902,0.87347,0.40158,0.77154,0.73575,0.69361,0.31679,1.8748,3.53379,0.75313,0.99879,1.41427,0.0008318,0.0008318,0.0008318
61,667.007,1.16941,2.58596,0.84851,0.73932,1.12289,0.8669,0.82383,0.86851,0.45719,0.8387,0.75438,0.73575,0.33171,1.71243,3.30902,0.75145,0.88778,1.37966,0.000812,0.000812,0.000812
62,678.163,1.19218,2.56202,0.8659,0.7305,1.12795,0.85038,0.87565,0.86357,0.40411,0.80092,0.74611,0.74073,0.37205,1.92115,3.2918,0.75257,1.00942,1.43337,0.0007922,0.0007922,0.0007922
63,689.797,1.2118,2.57833,0.903,0.74,1.16641,0.87557,0.83858,0.86425,0.43811,0.82718,0.77202,0.74565,0.36633,1.7534,3.31937,0.74534,0.94563,1.36558,0.0007724,0.0007724,0.0007724
64,702.153,1.19083,2.65497,0.87155,0.71143,1.13071,0.86891,0.85858,0.87859,0.44806,0.78501,0.77568,0.69695,0.30623,1.6383,3.28206,0.72576,0.86196,1.30758,0.0007526,0.0007526,0.0007526
65,712.405,1.17143,2.57957,0.86123,0.73078,1.12096,0.91324,0.87261,0.90632,0.50856,0.88586,0.80426,0.82485,0.44543,1.50424,2.98692,0.74548,0.83369,1.26605,0.0007328,0.0007328,0.0007328
66,721.187,1.18155,2.60641,0.86946,0.72792,1.14277,0.86703,0.84462,0.84733,0.40991,0.85306,0.78209,0.80646,0.42274,1.83731,3.206,0.75996,0.95077,1.38941,0.000713,0.000713,0.000713
67,733.706,1.2422,2.55754,0.88148,0.78506,1.16156,0.88711,0.81433,0.869,0.47068,0.8692,0.79275,0.81722,0.4518,1.6538,3.22987,0.75713,0.89933,1.34208,0.0006932,0.0006932,0.0006932
68,745.449,1.16769,2.49412,0.8365,0.73634,1.13414,0.90197,0.82902,0.88319,0.48519,0.85578,0.76166,0.78525,0.47855,1.65864,3.01961,0.7376,0.83941,1.35462,0.0006734,0.0006734,0.0006734
69,756.949,1.18404,2.38707,0.84731,0.72405,1.12302,0.88781,0.86103,0.86701,0.42696,0.86069,0.78238,0.76137,0.43368,1.7855,3.02982,0.73984,0.86826,1.39351,0.0006536,0.0006536,0.0006536
70,766.986,1.16039,2.34655,0.83388,0.73011,1.12086,0.89982,0.8601,0.83472,0.3829,0.82986,0.79275,0.71311,0.33065,1.80669,3.10343,0.73809,0.92403,1.38885,0.0006338,0.0006338,0.0006338
71,775.987,1.18659,2.46924,0.86858,0.73936,1.12835,0.88347,0.88083,0.88386,0.4628,0.85704,0.79275,0.76927,0.412,1.63063,3.24104,0.73922,0.8865,1.31536,0.000614,0.000614,0.000614
72,786.302,1.19087,2.45201,0.85467,0.71406,1.13299,0.90074,0.89332,0.88153,0.47277,0.8467,0.78238,0.75777,0.43389,1.62465,3.13202,0.73708,0.87544,1.34872,0.0005942,0.0005942,0.0005942
73,796.32,1.18674,2.32026,0.85528,0.71669,1.12507,0.88027,0.87614,0.86455,0.38448,0.86484,0.79572,0.79053,0.47071,1.91527,3.17218,0.74729,0.97215,1.451,0.0005744,0.0005744,0.0005744
74,807.868,1.19994,2.30331,0.84905,0.70334,1.14062,0.89927,0.87885,0.88338,0.47701,0.82441,0.80279,0.79085,0.45111,1.62567,3.02633,0.74523,0.83402,1.34311,0.0005546,0.0005546,0.0005546
75,819.719,1.1781,2.30109,0.85808,0.70827,1.11513,0.87704,0.85,0.84582,0.37799,0.82248,0.78756,0.76743,0.37264,1.91431,3.12052,0.74694,0.92116,1.42074,0.0005348,0.0005348,0.0005348
76,831.444,1.12596,2.21822,0.84181,0.67535,1.10059,0.87541,0.87047,0.86983,0.45411,0.84824,0.78196,0.76774,0.3843,1.64738,3.08338,0.74585,0.83775,1.30126,0.000515,0.000515,0.000515
77,842.669,1.16191,2.34421,0.82286,0.69124,1.10636,0.93567,0.89637,0.91542,0.49983,0.85325,0.81347,0.78959,0.41275,1.53953,3.12499,0.75006,0.84259,1.27972,0.0004952,0.0004952,0.0004952
78,852.617,1.11362,2.24124,0.84489,0.67823,1.10101,0.88082,0.84243,0.8826,0.46745,0.85228,0.76684,0.77031,0.40191,1.63162,3.24766,0.75446,0.87884,1.32639,0.0004754,0.0004754,0.0004754
79,863.918,1.10347,2.24396,0.85063,0.69696,1.09778,0.89828,0.88083,0.89962,0.5106,0.87554,0.79275,0.80088,0.47045,1.55871,3.1708,0.75559,0.84872,1.31127,0.0004556,0.0004556,0.0004556
80,873.769,1.11979,2.35949,0.84535,0.69828,1.10881,0.88359,0.8652,0.88188,0.43235,0.88627,0.76713,0.79671,0.46969,1.75398,3.23046,0.75778,0.93343,1.37918,0.0004358,0.0004358,0.0004358
81,884.945,1.07965,2.20866,0.84098,0.65374,1.08251,0.87133,0.8601,0.87726,0.49908,0.84263,0.77202,0.7873,0.43348,1.54097,3.2551,0.75203,0.86801,1.29415,0.000416,0.000416,0.000416
82,896.428,1.12595,2.16876,0.83666,0.66609,1.09705,0.85276,0.87024,0.87078,0.45478,0.88603,0.79275,0.79824,0.38164,1.67718,3.02135,0.74812,0.87957,1.30838,0.0003962,0.0003962,0.0003962
83,907.501,1.10397,2.3892,0.8662,0.67755,1.09208,0.88361,0.88083,0.88085,0.49646,0.87266,0.80829,0.80297,0.39334,1.61108,3.04625,0.74433,0.84485,1.29423,0.0003764,0.0003764,0.0003764
84,918.878,1.1097,2.18466,0.85763,0.6715,1.08731,0.91484,0.90155,0.91182,0.52361,0.86231,0.78756,0.77592,0.41451,1.52124,3.04999,0.74229,0.80268,1.27902,0.0003566,0.0003566,0.0003566
85,929.19,1.12456,2.35272,0.83173,0.68694,1.10552,0.89377,0.88601,0.88746,0.49255,0.92253,0.80206,0.83844,0.45485,1.58877,3.01909,0.74106,0.79873,1.32751,0.0003368,0.0003368,0.0003368
86,938.337,1.10065,2.12489,0.82406,0.68227,1.09769,0.91593,0.90674,0.90655,0.50213,0.93574,0.82996,0.86599,0.49427,1.59893,2.8071,0.73886,0.7721,1.34747,0.000317,0.000317,0.000317
87,952.985,1.08592,2.12988,0.8327,0.65224,1.09306,0.91572,0.90155,0.91385,0.51075,0.91382,0.8342,0.86994,0.52733,1.56179,2.7362,0.74392,0.77369,1.31174,0.0002972,0.0002972,0.0002972
88,961.681,1.0513,2.10932,0.84593,0.63162,1.08294,0.90528,0.8914,0.8964,0.49767,0.90526,0.82902,0.84621,0.50608,1.61624,2.73547,0.74197,0.77887,1.33234,0.0002774,0.0002774,0.0002774
89,971.292,1.03116,2.08604,0.81823,0.62194,1.0735,0.8919,0.90155,0.90249,0.49892,0.88203,0.85227,0.85088,0.49063,1.60121,2.86283,0.74048,0.77281,1.32799,0.0002576,0.0002576,0.0002576
90,980.93,1.04854,2.21432,0.84293,0.65842,1.07433,0.87428,0.89637,0.88615,0.47764,0.83228,0.80829,0.79332,0.46572,1.63433,2.8887,0.74206,0.81362,1.33815,0.0002378,0.0002378,0.0002378
91,992.672,0.95931,1.88051,0.71946,0.59212,1.03526,0.91123,0.90416,0.89918,0.52067,0.88998,0.79634,0.80394,0.47266,1.51387,2.85288,0.74076,0.77176,1.30502,0.000218,0.000218,0.000218
92,1001.16,0.9705,1.81229,0.70863,0.5804,1.03933,0.87226,0.8601,0.87894,0.48807,0.89684,0.8108,0.83961,0.45637,1.59331,2.7783,0.7436,0.8154,1.31493,0.0001982,0.0001982,0.0001982
93,1011.11,0.98637,1.77502,0.72808,0.56971,1.03722,0.89033,0.88332,0.88763,0.4917,0.91588,0.82383,0.85329,0.44091,1.60924,2.75778,0.74486,0.80957,1.31261,0.0001784,0.0001784,0.0001784
94,1020.81,0.96557,1.73417,0.72063,0.5582,1.01369,0.90357,0.89637,0.8985,0.50684,0.90312,0.82383,0.84653,0.45011,1.57363,2.77567,0.73903,0.78863,1.28971,0.0001586,0.0001586,0.0001586
95,1030.99,0.95769,1.7386,0.7227,0.5658,1.02554,0.89051,0.88601,0.88226,0.47132,0.91446,0.83083,0.86565,0.46695,1.66603,2.72795,0.74533,0.83235,1.31972,0.0001388,0.0001388,0.0001388
96,1040.57,0.94257,1.78441,0.72522,0.56398,1.00093,0.90878,0.89119,0.88771,0.50845,0.91535,0.84974,0.87682,0.49199,1.5728,2.68013,0.74323,0.77671,1.2899,0.000119,0.000119,0.000119
97,1051.58,0.93407,1.73686,0.74401,0.54721,1.01597,0.91485,0.89066,0.89851,0.49441,0.92485,0.86528,0.90148,0.48116,1.6261,2.71998,0.74719,0.7963,1.3102,9.92e-05,9.92e-05,9.92e-05
98,1062.52,0.96286,1.66841,0.73057,0.5734,1.02514,0.89272,0.89119,0.8932,0.48916,0.88489,0.83938,0.85786,0.48753,1.62337,2.68586,0.74777,0.79074,1.31514,7.94e-05,7.94e-05,7.94e-05
99,1072.78,0.90766,1.7121,0.70996,0.54191,1.01258,0.89636,0.89626,0.89205,0.51189,0.89034,0.80311,0.84507,0.50068,1.54991,2.68872,0.75137,0.76945,1.30119,5.96e-05,5.96e-05,5.96e-05
100,1082.18,0.94111,1.68766,0.70518,0.56047,1.01324,0.89115,0.89082,0.89287,0.52762,0.91784,0.80829,0.85813,0.5047,1.51349,2.69328,0.75141,0.76121,1.29446,3.98e-05,3.98e-05,3.98e-05
