epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.68339,2.24408,9.93342,1.4157,1.90792,1.78936,0.59951,0.31606,0.33637,0.11584,0,0,0,0,3.1323,10.239,1.39294,2.68474,2.04338,0.000652778,0.000652778,0.000652778
2,17.9691,2.0283,9.14018,1.37413,1.574,1.56789,0.29369,0.10881,0.08194,0.02504,0,0,0,0,3.975,10.5798,1.34213,3.51957,3.1812,0.00130638,0.00130638,0.00130638
3,26.4151,2.00614,8.65959,1.33208,1.47035,1.56067,0.00702,0.0829,0.00399,0.0011,3e-05,0.00518,2e-05,0,2.76947,9.94118,1.28521,26.4146,2.36756,0.00194679,0.00194679,0.00194679
4,34.8558,1.96281,8.2388,1.28338,1.37232,1.50874,0.59679,0.65285,0.57852,0.20919,0.01503,0.00518,0.00025,3e-05,2.33511,9.26641,1.13015,4.03618,1.61206,0.0019406,0.0019406,0.0019406
5,50.1695,1.86553,8.00599,1.23139,1.34448,1.47946,0.66896,0.67012,0.68499,0.23323,0.17112,0.06218,0.03329,0.00771,2.19207,8.80509,1.08107,2.28842,1.54231,0.0019208,0.0019208,0.0019208
6,64.6228,1.75376,7.51854,1.17477,1.24768,1.41173,0.69778,0.73057,0.64349,0.19921,0.07157,0.04145,0.00557,0.00126,2.4342,8.74197,1.00964,1.81619,1.65077,0.001901,0.001901,0.001901
7,76.2729,1.75388,7.24803,1.14277,1.21956,1.41911,0.73296,0.75373,0.65545,0.24145,0.10576,0.06736,0.00999,0.0019,2.19239,8.31213,0.94252,1.9471,1.6159,0.0018812,0.0018812,0.0018812
8,85.3939,1.72289,6.9568,1.10313,1.17674,1.38485,0.7514,0.69948,0.65438,0.19223,0.14226,0.05181,0.01404,0.00282,2.55047,8.26731,0.89122,1.94936,1.70792,0.0018614,0.0018614,0.0018614
9,96.6645,1.67816,6.71611,1.09404,1.148,1.34071,0.71146,0.73057,0.68387,0.27021,0.13613,0.0829,0.01823,0.00426,2.17331,8.23572,0.84959,1.98208,1.52588,0.0018416,0.0018416,0.0018416
10,109.565,1.63951,6.53949,1.08353,1.15484,1.35641,0.75852,0.76684,0.75326,0.30086,0.1526,0.11917,0.02618,0.00803,2.12329,7.88348,0.81776,1.33562,1.45863,0.0018218,0.0018218,0.0018218
11,120.328,1.6312,6.23698,1.04122,1.134,1.32015,0.85576,0.77202,0.81485,0.3702,0.13784,0.12435,0.02759,0.00549,1.95033,7.70818,0.81773,1.30877,1.44503,0.001802,0.001802,0.001802
12,130.444,1.63655,6.02327,1.05867,1.16092,1.37319,0.83304,0.75648,0.77833,0.34382,0.14227,0.11917,0.02633,0.00777,1.9683,7.60287,0.82499,1.28571,1.48374,0.0017822,0.0017822,0.0017822
13,140.717,1.59004,5.90649,1.04028,1.11402,1.33613,0.79515,0.73575,0.73868,0.29172,0.12748,0.11399,0.02315,0.0061,2.1008,7.59006,0.81844,1.39052,1.5439,0.0017624,0.0017624,0.0017624
14,150.873,1.59379,5.82754,0.99212,1.06488,1.3238,0.83031,0.76059,0.79938,0.33876,0.18024,0.16062,0.06433,0.0206,2.01916,7.40996,0.80492,1.24938,1.53504,0.0017426,0.0017426,0.0017426
15,161.168,1.61701,5.7832,1.04232,1.06015,1.33192,0.75777,0.73575,0.70515,0.24975,0.13784,0.13472,0.03372,0.00973,2.03995,7.44504,0.80079,1.45083,1.51391,0.0017228,0.0017228,0.0017228
16,171.716,1.55182,5.67963,1.0267,1.07756,1.29998,0.81641,0.76684,0.73671,0.27846,0.18882,0.17617,0.04637,0.0127,2.09119,7.39006,0.79842,1.37893,1.4853,0.001703,0.001703,0.001703
17,182.245,1.61394,5.31886,1.03223,1.06602,1.3326,0.84415,0.7513,0.77881,0.28854,0.20424,0.14508,0.05333,0.02181,2.09013,7.37388,0.81512,1.33239,1.5044,0.0016832,0.0016832,0.0016832
18,193.125,1.59727,5.31712,1.00601,1.09841,1.32969,0.78059,0.73575,0.76071,0.32511,0.18565,0.14508,0.0734,0.02484,2.01505,7.14501,0.85353,1.2988,1.53046,0.0016634,0.0016634,0.0016634
19,203.944,1.50159,5.04688,0.97323,1.05665,1.28332,0.83175,0.76684,0.77995,0.31182,0.20955,0.20725,0.1156,0.03641,1.98709,7.15885,0.83159,1.32734,1.51776,0.0016436,0.0016436,0.0016436
20,214.576,1.52843,5.02632,1.04693,1.02324,1.29445,0.76206,0.72539,0.7161,0.24899,0.22845,0.19689,0.06416,0.02138,2.16799,7.00699,0.8193,1.468,1.55438,0.0016238,0.0016238,0.0016238
21,224.449,1.4844,4.68361,1.01887,1.00335,1.25927,0.82886,0.74611,0.74078,0.2909,0.28815,0.26847,0.12424,0.03324,2.09387,6.84725,0.84046,1.42521,1.54164,0.001604,0.001604,0.001604
22,235.509,1.57983,4.90745,1.00953,1.0615,1.3041,0.78929,0.77637,0.77477,0.31831,0.21236,0.16062,0.07586,0.03167,1.82445,6.95251,0.83736,1.31523,1.40954,0.0015842,0.0015842,0.0015842
23,245.913,1.50938,4.73312,0.98705,1.05951,1.24419,0.74515,0.72717,0.75761,0.31464,0.21616,0.19434,0.07059,0.03128,1.78566,6.61842,0.83787,1.51668,1.39525,0.0015644,0.0015644,0.0015644
24,256.665,1.51466,4.71367,1.02464,1.09705,1.27415,0.78326,0.69948,0.72375,0.26406,0.24668,0.20725,0.1341,0.04281,1.91548,6.42918,0.85157,1.73986,1.43689,0.0015446,0.0015446,0.0015446
25,267.187,1.43737,4.3751,0.96485,1.00058,1.22878,0.86495,0.80311,0.82092,0.3436,0.37241,0.31088,0.19297,0.05199,1.89452,6.14223,0.82638,1.44667,1.445,0.0015248,0.0015248,0.0015248
26,277.871,1.52017,4.6135,1.02326,1.02784,1.29615,0.78078,0.7513,0.77226,0.28029,0.40663,0.40415,0.23172,0.07456,2.18357,5.90132,0.8281,1.33095,1.57913,0.001505,0.001505,0.001505
