epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,123.824,1.61772,6.01668,1.06364,1.15194,1.34628,0.75644,0.78238,0.74471,0.28339,0.26251,0.1399,0.05609,0.02064,2.01797,7.88513,0.80066,1.60174,1.48881,0.0019274,0.0019274,0.0019274
13,134.077,1.60542,6.01262,1.03321,1.13122,1.32936,0.80457,0.74611,0.76422,0.2892,0.14785,0.11917,0.02994,0.00772,2.10518,7.62165,0.83135,1.41718,1.55382,0.0019208,0.0019208,0.0019208
14,143.669,1.57744,5.84511,0.99764,1.10996,1.32063,0.77797,0.7262,0.7324,0.27967,0.1323,0.14508,0.03252,0.00978,1.92508,7.37655,0.81557,1.37925,1.52387,0.0019142,0.0019142,0.0019142
15,153.594,1.57407,5.72069,1.03196,1.09007,1.31293,0.66695,0.67358,0.60238,0.2015,0.10619,0.11917,0.02573,0.00806,2.02035,7.38023,0.80693,1.49849,1.55131,0.0019076,0.0019076,0.0019076
16,163.588,1.59476,5.60981,1.02807,1.08912,1.30872,0.73249,0.72021,0.68953,0.23697,0.16658,0.1658,0.04402,0.00977,2.21766,7.40989,0.82014,1.43667,1.60232,0.001901,0.001901,0.001901
17,173.124,1.60478,5.34144,1.03255,1.05614,1.31676,0.787,0.76684,0.72556,0.27135,0.21383,0.21762,0.06103,0.01597,2.08785,7.20121,0.8474,1.54535,1.54036,0.0018944,0.0018944,0.0018944
18,183.271,1.59537,5.26349,1.00698,1.1116,1.30776,0.79117,0.72539,0.68165,0.25995,0.21433,0.17098,0.07632,0.02298,2.04374,7.3358,0.82031,1.58864,1.50215,0.0018878,0.0018878,0.0018878
19,193.316,1.51995,5.02561,0.9739,1.08925,1.27567,0.76293,0.76702,0.73144,0.28888,0.1893,0.17617,0.06629,0.02569,1.94974,7.23622,0.81014,1.3771,1.50885,0.0018812,0.0018812,0.0018812
20,201.887,1.54659,5.01528,1.03812,1.06064,1.29489,0.74787,0.6943,0.71253,0.24761,0.17769,0.17617,0.05232,0.01939,2.18525,7.06655,0.83059,1.41477,1.58515,0.0018746,0.0018746,0.0018746
21,212.178,1.53345,4.74116,1.02155,1.05963,1.28683,0.79919,0.73575,0.74011,0.26157,0.19861,0.19689,0.05409,0.01788,2.21807,6.76284,0.84091,1.40683,1.59204,0.001868,0.001868,0.001868
22,221.477,1.59636,4.85991,1.02012,1.06669,1.3196,0.81918,0.76684,0.78395,0.29177,0.25225,0.23316,0.08542,0.02326,2.02696,6.57279,0.84145,1.25116,1.49818,0.0018614,0.0018614,0.0018614
23,230.06,1.53001,4.60357,0.9935,1.02167,1.27885,0.83359,0.72539,0.76438,0.33514,0.28254,0.27461,0.13857,0.03759,1.89621,6.3234,0.82812,1.29093,1.44776,0.0018548,0.0018548,0.0018548
24,241.845,1.57244,4.63079,1.02503,1.05669,1.31374,0.7492,0.72021,0.74452,0.32011,0.35282,0.38342,0.20987,0.0521,1.90079,6.03949,0.82564,1.381,1.50149,0.0018482,0.0018482,0.0018482
25,251.735,1.49277,4.35239,0.96147,1.03083,1.26228,0.76529,0.72539,0.67978,0.28875,0.3347,0.31606,0.12872,0.03828,1.92831,6.142,0.8069,1.58459,1.49401,0.0018416,0.0018416,0.0018416
26,261.28,1.51305,4.52411,1.01743,1.05924,1.29397,0.80926,0.76942,0.76341,0.29275,0.36128,0.35233,0.19995,0.06854,2.18837,5.70463,0.79284,1.26799,1.58069,0.001835,0.001835,0.001835
27,270.357,1.40809,4.25204,0.93963,1.01944,1.23619,0.86843,0.78756,0.81429,0.40333,0.57462,0.45496,0.43248,0.16705,1.87859,5.6294,0.78144,1.20854,1.42536,0.0018284,0.0018284,0.0018284
28,282.203,1.47948,4.25311,0.984,0.98844,1.25206,0.81885,0.77202,0.8038,0.29045,0.44071,0.35751,0.26714,0.08153,2.24012,5.7983,0.7774,1.24672,1.53333,0.0018218,0.0018218,0.0018218
29,292.044,1.45648,4.23672,0.95592,0.95987,1.24305,0.71026,0.69948,0.64009,0.24899,0.37034,0.37306,0.18904,0.06426,2.02422,5.65119,0.78513,1.59578,1.55877,0.0018152,0.0018152,0.0018152
30,301.12,1.45304,4.01045,0.95002,1.01716,1.2757,0.78751,0.76812,0.7585,0.2908,0.45644,0.49223,0.36756,0.10874,2.07059,5.13434,0.77792,1.44325,1.59723,0.0018086,0.0018086,0.0018086
31,311.145,1.48738,3.82867,0.98571,0.98851,1.27909,0.81273,0.77202,0.77597,0.29701,0.542,0.4715,0.34056,0.10301,2.09411,5.20197,0.77538,1.23113,1.57198,0.001802,0.001802,0.001802
32,321.07,1.46223,3.83508,0.96838,0.9889,1.27355,0.75673,0.72529,0.70577,0.26133,0.46731,0.53886,0.35114,0.12747,2.0728,4.92282,0.76928,1.33504,1.55077,0.0017954,0.0017954,0.0017954
33,330.323,1.42745,3.56522,0.93525,0.96911,1.24042,0.74142,0.78238,0.75482,0.31982,0.44993,0.49741,0.30902,0.11444,1.81444,4.96592,0.79023,1.25706,1.45685,0.0017888,0.0017888,0.0017888
34,340.176,1.43486,3.74475,0.96385,0.99372,1.24618,0.83118,0.77202,0.76968,0.30432,0.56859,0.5285,0.39177,0.1449,1.97316,4.74697,0.78569,1.22994,1.50996,0.0017822,0.0017822,0.0017822
35,349.325,1.45411,3.75539,0.95314,0.96929,1.25855,0.81875,0.7772,0.79436,0.32245,0.61384,0.59067,0.53873,0.24117,2.00909,4.58112,0.76811,1.25769,1.5218,0.0017756,0.0017756,0.0017756
36,359.156,1.42108,3.38878,0.9179,0.99075,1.25728,0.77449,0.76684,0.74928,0.28107,0.56016,0.54404,0.3987,0.1472,2.04961,4.70421,0.76617,1.29486,1.49298,0.001769,0.001769,0.001769
37,369.119,1.4325,3.78861,0.9625,0.9928,1.25337,0.83598,0.77202,0.80357,0.3212,0.57101,0.54922,0.42628,0.17837,1.88586,4.49856,0.76192,1.28835,1.46426,0.0017624,0.0017624,0.0017624
38,378.7,1.44771,3.53645,0.94499,0.9776,1.25754,0.78717,0.76684,0.78243,0.27519,0.62858,0.64249,0.57067,0.21061,2.24095,4.43563,0.78118,1.38927,1.66815,0.0017558,0.0017558,0.0017558
39,388.617,1.43328,3.51055,0.92682,0.95756,1.24835,0.78165,0.82383,0.8169,0.35615,0.60607,0.63212,0.53162,0.21092,1.81971,4.16952,0.76154,1.35176,1.50255,0.0017492,0.0017492,0.0017492
40,398.621,1.43664,3.49717,0.92175,0.92964,1.26644,0.80069,0.76166,0.75596,0.25453,0.51345,0.46114,0.29013,0.11275,2.08819,4.72943,0.76744,1.36211,1.56018,0.0017426,0.0017426,0.0017426
41,408.43,1.3737,3.41576,0.92349,0.94339,1.20222,0.79731,0.75411,0.71799,0.26129,0.66141,0.62753,0.48539,0.16795,2.10388,4.33784,0.77598,1.26706,1.56178,0.001736,0.001736,0.001736
42,418.455,1.43629,3.46707,0.94673,0.95882,1.246,0.84942,0.78238,0.81278,0.31869,0.60125,0.56251,0.3999,0.17018,2.00117,4.50792,0.74906,1.20138,1.55071,0.0017294,0.0017294,0.0017294
43,427.898,1.42647,3.59736,0.92407,0.99801,1.25713,0.83816,0.83187,0.82046,0.3428,0.65779,0.65285,0.51578,0.1941,1.90093,4.248,0.74089,1.10037,1.4988,0.0017228,0.0017228,0.0017228
44,437.803,1.40328,3.31723,0.89264,0.99629,1.23675,0.8386,0.80829,0.79615,0.28716,0.59003,0.56995,0.42493,0.15287,2.00642,4.33797,0.73069,1.21998,1.50861,0.0017162,0.0017162,0.0017162
45,447.634,1.39171,3.46106,0.91749,0.97183,1.21062,0.75146,0.74611,0.72813,0.26944,0.59662,0.59067,0.47984,0.13908,2.00264,4.60706,0.75286,1.26309,1.47734,0.0017096,0.0017096,0.0017096
46,457.722,1.40011,3.45819,0.88411,0.95952,1.21371,0.82926,0.82383,0.79711,0.36646,0.70659,0.66321,0.61298,0.26308,1.90072,4.31994,0.75961,1.14094,1.429,0.001703,0.001703,0.001703
47,466.94,1.42031,3.37164,0.93984,0.95937,1.25853,0.81925,0.80829,0.77875,0.34085,0.63849,0.63212,0.53014,0.15763,1.98117,4.48289,0.76125,1.20916,1.4829,0.0016964,0.0016964,0.0016964
48,476.383,1.38056,3.42262,0.93042,0.97741,1.23574,0.772,0.79793,0.7813,0.32575,0.69228,0.63212,0.57527,0.22279,2.00082,4.15961,0.75089,1.13742,1.47136,0.0016898,0.0016898,0.0016898
49,484.857,1.39984,3.05268,0.91537,0.94028,1.23906,0.80417,0.82982,0.82967,0.33309,0.77583,0.69948,0.67544,0.25678,2.04459,4.12757,0.74266,1.10362,1.54616,0.0016832,0.0016832,0.0016832
50,494.877,1.33274,3.00881,0.86364,0.9129,1.20246,0.85969,0.7937,0.80571,0.33915,0.74882,0.67968,0.58747,0.23154,1.9633,3.9863,0.75942,1.10411,1.52732,0.0016766,0.0016766,0.0016766
51,505.08,1.35645,3.06386,0.88391,0.91688,1.20851,0.79893,0.7772,0.74907,0.24328,0.6332,0.61658,0.45151,0.16695,2.24262,4.00246,0.73622,1.17835,1.61685,0.00167,0.00167,0.00167
52,514.351,1.38625,3.0449,0.88049,0.90968,1.2438,0.84091,0.82165,0.84293,0.36208,0.69719,0.67999,0.67511,0.28545,1.95967,3.75133,0.73838,1.10368,1.53704,0.0016634,0.0016634,0.0016634
53,526.202,1.33882,3.14765,0.88908,0.92583,1.19905,0.77016,0.80829,0.80263,0.34255,0.62242,0.67477,0.57709,0.22157,1.80328,3.82017,0.73357,1.19891,1.45307,0.0016568,0.0016568,0.0016568
54,536.163,1.32488,3.10221,0.90375,0.91074,1.19411,0.81478,0.75217,0.796,0.32523,0.72135,0.63041,0.57152,0.20933,1.89484,3.84254,0.73641,1.24504,1.45728,0.0016502,0.0016502,0.0016502
55,546.258,1.32501,3.02748,0.85542,0.86836,1.19138,0.80407,0.82902,0.81242,0.33323,0.76233,0.62176,0.57257,0.22169,1.98153,3.87084,0.74655,1.16712,1.51495,0.0016436,0.0016436,0.0016436
56,556.117,1.31284,2.7905,0.84272,0.84045,1.17171,0.82864,0.79793,0.78172,0.35713,0.76638,0.65803,0.59542,0.21879,1.94894,4.10097,0.75204,1.46627,1.51961,0.001637,0.001637,0.001637
57,566.207,1.3499,2.88271,0.87184,0.88564,1.20084,0.86901,0.75625,0.80792,0.37752,0.81563,0.72539,0.72121,0.3047,1.86645,3.79086,0.75437,1.21256,1.473,0.0016304,0.0016304,0.0016304
58,578.262,1.32654,3.04529,0.8717,0.91461,1.20787,0.87312,0.82383,0.87079,0.39647,0.84529,0.72539,0.74314,0.33853,1.77403,3.66287,0.74326,1.00785,1.41405,0.0016238,0.0016238,0.0016238
59,589.748,1.30913,3.0825,0.86919,0.90439,1.17586,0.87066,0.8342,0.84459,0.3811,0.67073,0.66493,0.58114,0.23082,1.73558,3.79515,0.73314,0.99473,1.36141,0.0016172,0.0016172,0.0016172
60,599.675,1.336,2.78291,0.83982,0.89818,1.19684,0.82268,0.8173,0.78326,0.30048,0.70525,0.70664,0.61572,0.24506,2.03386,3.78639,0.74006,1.13758,1.47588,0.0016106,0.0016106,0.0016106
61,608.555,1.28009,2.78578,0.82191,0.88664,1.16195,0.89654,0.8601,0.87331,0.43258,0.83557,0.76359,0.77378,0.30691,1.74045,3.73698,0.72981,1.03118,1.42416,0.001604,0.001604,0.001604
62,620.632,1.29894,2.86595,0.85418,0.83717,1.17749,0.89007,0.83902,0.83486,0.35954,0.81303,0.7435,0.73828,0.36938,1.96952,3.68257,0.73995,1.07997,1.4763,0.0015974,0.0015974,0.0015974
63,630.708,1.34401,2.89695,0.88652,0.8452,1.22877,0.87267,0.81672,0.83274,0.38136,0.76786,0.70984,0.6654,0.2223,1.80131,3.92218,0.72414,1.03437,1.36843,0.0015908,0.0015908,0.0015908
64,639.414,1.27046,2.92609,0.85852,0.82532,1.17138,0.82564,0.79275,0.76629,0.32708,0.63739,0.62694,0.4642,0.18704,1.87663,3.53927,0.733,1.05475,1.41113,0.0015842,0.0015842,0.0015842
65,649.587,1.2991,2.83701,0.84126,0.82634,1.18018,0.86258,0.87814,0.8777,0.4418,0.79084,0.72539,0.73739,0.34041,1.73561,3.38531,0.74823,0.9744,1.43295,0.0015776,0.0015776,0.0015776
66,660.759,1.33009,2.80526,0.84954,0.83753,1.22319,0.80407,0.74611,0.7491,0.26229,0.71427,0.66321,0.60088,0.25463,2.27812,3.61956,0.75703,1.23326,1.59351,0.001571,0.001571,0.001571
67,670.354,1.35818,2.86748,0.85923,0.89296,1.21874,0.82126,0.83323,0.81664,0.40151,0.65676,0.65434,0.6023,0.29634,1.76878,3.55756,0.75781,1.07416,1.39172,0.0015644,0.0015644,0.0015644
68,679.9,1.29275,2.71881,0.80877,0.83869,1.1863,0.88856,0.8601,0.88484,0.45867,0.79684,0.73575,0.73377,0.41534,1.6823,3.26632,0.73853,0.95617,1.36033,0.0015578,0.0015578,0.0015578
69,691.049,1.29548,2.57961,0.81551,0.84139,1.17484,0.81111,0.81865,0.80293,0.37361,0.76325,0.70984,0.67996,0.33975,1.8696,3.42444,0.73546,1.1474,1.4469,0.0015512,0.0015512,0.0015512
70,700.973,1.25442,2.58307,0.81266,0.82722,1.16301,0.85531,0.82701,0.84026,0.43409,0.84195,0.75648,0.76408,0.4417,1.70906,3.00815,0.72086,1.14923,1.40041,0.0015446,0.0015446,0.0015446
71,712.491,1.30131,2.63143,0.83454,0.82792,1.18724,0.87967,0.83938,0.82303,0.33785,0.82578,0.7613,0.70961,0.30294,1.93783,3.27135,0.73133,1.04906,1.46734,0.001538,0.001538,0.001538
72,721.633,1.26738,2.74574,0.82231,0.81052,1.16932,0.87116,0.87587,0.87762,0.44876,0.85922,0.79061,0.7861,0.39788,1.67255,3.23097,0.72891,0.93538,1.38375,0.0015314,0.0015314,0.0015314
73,731.798,1.27683,2.50815,0.83023,0.81336,1.18863,0.84297,0.81865,0.86074,0.43011,0.8601,0.74611,0.73588,0.38605,1.72727,3.36261,0.72901,0.91357,1.40735,0.0015248,0.0015248,0.0015248
74,741.657,1.31917,2.53959,0.81371,0.81263,1.19788,0.86325,0.85042,0.85021,0.35211,0.79534,0.76166,0.71216,0.33286,1.95733,3.13833,0.72,1.07577,1.43519,0.0015182,0.0015182,0.0015182
75,751.698,1.31469,2.55997,0.82255,0.83284,1.17716,0.83113,0.80311,0.79011,0.32649,0.75886,0.72021,0.65327,0.2763,2.01329,3.59579,0.72711,1.14293,1.45019,0.0015116,0.0015116,0.0015116
76,761.81,1.2577,2.49335,0.80596,0.79088,1.15879,0.87834,0.86034,0.86081,0.45165,0.79697,0.75252,0.72128,0.32788,1.63072,3.50455,0.71553,0.94,1.29747,0.001505,0.001505,0.001505
77,771.959,1.27419,2.67357,0.79029,0.79095,1.15992,0.81189,0.82741,0.83003,0.38276,0.76504,0.71503,0.70601,0.29779,1.75682,3.43762,0.71945,1.04172,1.37065,0.0014984,0.0014984,0.0014984
78,782.165,1.22251,2.56908,0.81392,0.7971,1.15646,0.89729,0.84974,0.86934,0.48516,0.86273,0.68386,0.72826,0.39503,1.6135,3.45052,0.7265,0.85966,1.36567,0.0014918,0.0014918,0.0014918
79,794.289,1.23343,2.60067,0.80941,0.79526,1.17672,0.84727,0.82383,0.84292,0.44388,0.82632,0.76166,0.75637,0.3484,1.71492,3.37729,0.71889,0.91327,1.42138,0.0014852,0.0014852,0.0014852
80,804.128,1.24544,2.57053,0.81088,0.81985,1.16989,0.8219,0.86079,0.83025,0.35742,0.8379,0.75648,0.77776,0.36373,1.96363,3.1587,0.72055,0.96047,1.47926,0.0014786,0.0014786,0.0014786
81,814.153,1.19998,2.40378,0.80397,0.74442,1.14586,0.86983,0.86556,0.86405,0.41536,0.82302,0.7513,0.77151,0.36796,1.78357,3.12034,0.70575,0.92332,1.40185,0.001472,0.001472,0.001472
82,824.423,1.25829,2.44009,0.79395,0.77003,1.16146,0.80089,0.83363,0.81439,0.34077,0.84325,0.78049,0.78689,0.37861,1.96005,3.03948,0.7167,1.03587,1.44143,0.0014654,0.0014654,0.0014654
83,834.647,1.23603,2.64937,0.81586,0.75769,1.14557,0.85985,0.8342,0.84562,0.45677,0.82723,0.76684,0.74196,0.35391,1.66808,3.15124,0.71099,0.91782,1.32814,0.0014588,0.0014588,0.0014588
84,844.721,1.27755,2.42153,0.8138,0.77518,1.17131,0.86623,0.87232,0.88224,0.49486,0.84764,0.75648,0.76865,0.39127,1.48603,3.04029,0.71852,0.89231,1.29837,0.0014522,0.0014522,0.0014522
85,854.584,1.30741,2.54176,0.79614,0.80127,1.18381,0.88301,0.82383,0.85101,0.40954,0.86579,0.80218,0.78699,0.41108,1.76936,2.90219,0.73037,0.9618,1.43945,0.0014456,0.0014456,0.0014456
86,864.661,1.21354,2.34895,0.79343,0.78628,1.15128,0.86956,0.82895,0.8296,0.38533,0.83321,0.76166,0.76733,0.42747,1.86003,3.01537,0.74061,1.02627,1.46647,0.001439,0.001439,0.001439
87,874.527,1.19507,2.36659,0.78771,0.73206,1.13605,0.88985,0.80829,0.85049,0.42993,0.85347,0.76684,0.7815,0.47326,1.73385,2.9695,0.73103,0.91795,1.37501,0.0014324,0.0014324,0.0014324
88,886.343,1.19531,2.31131,0.80275,0.72475,1.13682,0.86608,0.84974,0.85737,0.45698,0.7765,0.76166,0.74579,0.35187,1.66379,3.06532,0.7085,0.87392,1.35394,0.0014258,0.0014258,0.0014258
89,896.261,1.21059,2.3077,0.7802,0.73088,1.14465,0.88057,0.84456,0.85419,0.38521,0.80452,0.76684,0.73143,0.34952,1.83335,3.20788,0.71814,0.97642,1.42284,0.0014192,0.0014192,0.0014192
90,904.982,1.20663,2.47618,0.78419,0.75667,1.13843,0.89021,0.84022,0.86787,0.42596,0.85701,0.77202,0.78903,0.44631,1.81819,2.98137,0.72509,1.00208,1.42697,0.0014126,0.0014126,0.0014126
91,914.695,1.27669,2.29536,0.80473,0.77818,1.19244,0.89781,0.85492,0.89389,0.47511,0.86092,0.76974,0.78067,0.40961,1.61224,2.96516,0.73546,0.90583,1.35273,0.001406,0.001406,0.001406
92,924.701,1.20776,2.37155,0.78382,0.74768,1.14586,0.8583,0.81602,0.8498,0.44486,0.84867,0.7513,0.75681,0.38679,1.67739,3.21967,0.74966,0.96337,1.41062,0.0013994,0.0013994,0.0013994
93,934.488,1.25937,2.25442,0.77686,0.75983,1.15993,0.86235,0.79275,0.80043,0.37831,0.85833,0.78479,0.7618,0.33993,1.76602,3.09757,0.74643,1.03308,1.40869,0.0013928,0.0013928,0.0013928
94,943.845,1.22725,2.34947,0.78951,0.77663,1.15812,0.87153,0.83938,0.86945,0.48228,0.82587,0.76181,0.75882,0.4101,1.56753,2.88161,0.72011,0.89309,1.3257,0.0013862,0.0013862,0.0013862
95,953.737,1.22203,2.31321,0.82421,0.75808,1.16819,0.85365,0.88083,0.87733,0.45429,0.86258,0.80829,0.84347,0.42955,1.78069,3.00011,0.72271,0.85665,1.4324,0.0013796,0.0013796,0.0013796
96,963.615,1.19118,2.07667,0.76341,0.71181,1.12336,0.86714,0.84456,0.84962,0.36264,0.85766,0.78238,0.79051,0.41177,2.05689,3.16794,0.73893,0.96283,1.49266,0.001373,0.001373,0.001373
97,973.721,1.23614,2.24425,0.79859,0.75681,1.15257,0.87588,0.82902,0.86511,0.42598,0.87512,0.80829,0.79968,0.4541,1.74454,3.0841,0.73666,0.96355,1.371,0.0013664,0.0013664,0.0013664
98,982.908,1.23595,2.26747,0.79852,0.73172,1.14959,0.86484,0.862,0.87731,0.46598,0.89581,0.80185,0.81834,0.48274,1.72006,2.96612,0.7201,0.88355,1.39963,0.0013598,0.0013598,0.0013598
99,994.41,1.12553,1.94719,0.78811,0.68651,1.09471,0.86975,0.86528,0.86976,0.45828,0.86718,0.76684,0.78992,0.47656,1.77276,2.88431,0.71147,0.88308,1.41433,0.0013532,0.0013532,0.0013532
100,1004.48,1.17715,1.92664,0.74817,0.72253,1.13167,0.8753,0.87283,0.89373,0.46198,0.86362,0.80829,0.83329,0.49855,1.72801,2.71724,0.70864,0.84605,1.37473,0.0013466,0.0013466,0.0013466
101,1015.01,1.20454,2.02164,0.774,0.70541,1.14331,0.90803,0.85492,0.89282,0.50562,0.92381,0.79275,0.82178,0.49235,1.58545,2.81673,0.72188,0.83685,1.33597,0.00134,0.00134,0.00134
102,1025.45,1.18241,2.05138,0.78503,0.71371,1.13285,0.86146,0.84974,0.87176,0.44289,0.86084,0.76166,0.7507,0.40988,1.68821,3.20681,0.74609,0.89651,1.35709,0.0013334,0.0013334,0.0013334
103,1034.44,1.10873,1.7892,0.76163,0.67517,1.08966,0.88667,0.8513,0.85407,0.47986,0.86554,0.78756,0.78975,0.43992,1.57434,3.09261,0.74894,0.86207,1.34778,0.0013268,0.0013268,0.0013268
104,1044.37,1.18615,1.91201,0.76331,0.7185,1.12782,0.888,0.82165,0.83694,0.43796,0.83496,0.78238,0.79098,0.3498,1.72561,3.18071,0.71901,0.91557,1.34217,0.0013202,0.0013202,0.0013202
105,1054.22,1.16666,1.9519,0.76036,0.7191,1.11337,0.90795,0.79793,0.82933,0.35189,0.92103,0.79793,0.82283,0.45703,1.99793,2.99305,0.707,0.9909,1.46102,0.0013136,0.0013136,0.0013136
106,1064.14,1.17391,1.9037,0.7876,0.72112,1.14943,0.91834,0.83938,0.87631,0.46584,0.9006,0.78238,0.80888,0.48734,1.69281,2.98433,0.70476,0.87225,1.39907,0.001307,0.001307,0.001307
107,1073.31,1.17255,1.74373,0.75587,0.72285,1.13454,0.90162,0.85472,0.87802,0.47217,0.8864,0.80311,0.83835,0.51359,1.63317,2.59202,0.67888,0.82977,1.34298,0.0013004,0.0013004,0.0013004
108,1081.92,1.12645,1.89612,0.73536,0.69111,1.10644,0.88214,0.88601,0.89281,0.49051,0.89208,0.8138,0.8333,0.51565,1.62723,2.70016,0.67729,0.81895,1.36599,0.0012938,0.0012938,0.0012938
109,1093.44,1.13652,1.73424,0.74511,0.68238,1.11506,0.8858,0.89119,0.88745,0.46171,0.86703,0.79275,0.80256,0.50003,1.69401,2.92016,0.69605,0.82907,1.36898,0.0012872,0.0012872,0.0012872
110,1103.37,1.16631,1.83702,0.7792,0.69633,1.11539,0.89514,0.83938,0.87843,0.4384,0.93012,0.8342,0.88197,0.53664,1.82096,2.54451,0.70223,0.88101,1.43371,0.0012806,0.0012806,0.0012806
111,1113.17,1.16159,1.8908,0.77573,0.69993,1.14521,0.86487,0.84456,0.86621,0.41573,0.8992,0.81347,0.85634,0.46489,1.88047,2.73737,0.70276,0.90467,1.42071,0.001274,0.001274,0.001274
112,1123.06,1.17708,1.71694,0.76051,0.71804,1.13891,0.90242,0.82383,0.88407,0.47579,0.91272,0.78238,0.82412,0.47754,1.65016,2.87678,0.71314,0.85495,1.35985,0.0012674,0.0012674,0.0012674
113,1133.06,1.16348,1.69914,0.75175,0.70308,1.12368,0.90663,0.78756,0.86511,0.43105,0.87698,0.73876,0.77241,0.50266,1.7587,2.90363,0.72467,0.91287,1.38998,0.0012608,0.0012608,0.0012608
114,1142.49,1.215,1.82521,0.74504,0.71663,1.12597,0.83162,0.83938,0.83713,0.38093,0.83439,0.7772,0.81152,0.47452,1.98632,2.71578,0.71343,0.95411,1.44257,0.0012542,0.0012542,0.0012542
115,1152.1,1.13785,1.82346,0.73996,0.69545,1.0928,0.87695,0.87047,0.87851,0.43177,0.92051,0.84006,0.86617,0.48096,1.80867,2.5802,0.69959,0.88475,1.38629,0.0012476,0.0012476,0.0012476
116,1162.15,1.09468,1.74542,0.74219,0.64575,1.07461,0.87858,0.89119,0.89838,0.50014,0.89474,0.83682,0.87241,0.51542,1.56144,2.51507,0.70335,0.82936,1.31251,0.001241,0.001241,0.001241
117,1173.81,1.11807,1.63453,0.72862,0.68363,1.09815,0.86149,0.88601,0.89236,0.50638,0.89289,0.77744,0.83002,0.48927,1.54862,2.59224,0.70169,0.86414,1.30824,0.0012344,0.0012344,0.0012344
118,1183.8,1.08571,1.67419,0.72669,0.6891,1.10291,0.87453,0.87565,0.89357,0.49582,0.83895,0.75576,0.78586,0.44411,1.52309,2.98239,0.70629,0.83482,1.30825,0.0012278,0.0012278,0.0012278
119,1193.83,1.14153,1.6311,0.73131,0.68564,1.10696,0.87275,0.85285,0.88105,0.4921,0.91119,0.75648,0.79279,0.48464,1.61924,2.88393,0.70356,0.87225,1.32311,0.0012212,0.0012212,0.0012212
120,1202.8,1.16639,1.88998,0.72028,0.70611,1.13179,0.87441,0.88083,0.8796,0.47618,0.89893,0.82954,0.85169,0.48781,1.60905,2.57867,0.67537,0.82225,1.32957,0.0012146,0.0012146,0.0012146
