epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.67021,2.24408,9.93342,1.4157,1.90792,1.78936,0.59951,0.31606,0.33637,0.11584,0,0,0,0,3.1323,10.239,1.39294,2.68474,2.04338,0.000652778,0.000652778,0.000652778
2,17.9489,2.02448,9.13144,1.37485,1.5751,1.56102,0.27995,0.06736,0.06692,0.01764,0,0,0,0,3.8593,10.5727,1.3388,4.04309,3.17416,0.00131509,0.00131509,0.00131509
3,26.4296,2.02896,8.77124,1.33467,1.49083,1.57453,0.01536,0.12953,0.00613,0.00126,0,0,0,0,3.44178,10.4177,1.27085,28.7786,2.42805,0.001973,0.001973,0.001973
4,35.0269,1.98353,8.37178,1.286,1.43915,1.53774,0.5076,0.62176,0.52298,0.18987,0.00202,0.00518,8e-05,1e-05,2.39022,9.66521,1.16122,3.95107,1.57349,0.0019802,0.0019802,0.0019802
5,47.709,1.89128,8.1814,1.23352,1.40814,1.493,0.55679,0.65743,0.5371,0.22215,0.01687,0.03109,0.00111,0.00012,1.91857,9.13884,1.08029,2.58793,1.42735,0.0019736,0.0019736,0.0019736
6,60.0297,1.74454,7.52691,1.16834,1.26943,1.40127,0.76746,0.6943,0.70259,0.22701,0.09736,0.06218,0.01478,0.00345,2.37078,8.76061,1.00565,1.69692,1.69792,0.001967,0.001967,0.001967
7,72.0497,1.76475,7.28724,1.14482,1.23179,1.41474,0.83506,0.74611,0.73599,0.26679,0.06218,0.05699,0.00838,0.00204,2.22097,8.23919,0.9475,1.79412,1.61772,0.0019604,0.0019604,0.0019604
8,81.1561,1.70459,6.7957,1.10487,1.17806,1.36788,0.6828,0.72539,0.62303,0.20216,0.10275,0.07254,0.01197,0.00257,2.34765,8.19541,0.88872,1.7266,1.63367,0.0019538,0.0019538,0.0019538
9,92.0044,1.70783,6.65668,1.08981,1.12655,1.34528,0.71098,0.67876,0.6419,0.21793,0.0764,0.09845,0.01888,0.00339,2.22269,8.01769,0.84701,1.57998,1.60397,0.0019472,0.0019472,0.0019472
10,100.502,1.63289,6.55314,1.09195,1.17925,1.34745,0.717,0.70887,0.69506,0.21491,0.13949,0.10363,0.02482,0.00583,2.24889,7.91017,0.82297,1.7365,1.5864,0.0019406,0.0019406,0.0019406
11,110.827,1.64328,6.30492,1.04398,1.10941,1.31912,0.85186,0.79275,0.80586,0.33519,0.14509,0.12953,0.02605,0.0066,2.0153,7.86108,0.80914,1.30644,1.46607,0.001934,0.001934,0.001934
