epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,243.886,1.36813,3.92397,1.03354,0.92842,1.19893,0.79601,0.72786,0.70398,0.24332,0.31423,0.28497,0.11354,0.03768,2.24966,6.25419,0.84492,1.42885,1.531,0.0099142,0.0099142,0.0099142
28,253.005,1.42207,4.26451,1.06995,0.97268,1.21126,0.79677,0.73129,0.6762,0.21739,0.57159,0.5285,0.34404,0.11301,2.27218,4.7589,0.81606,1.58022,1.57755,0.0099109,0.0099109,0.0099109
29,262.067,1.42144,3.84394,1.03879,0.94109,1.19008,0.84329,0.80311,0.78883,0.31904,0.69654,0.65412,0.54966,0.19361,1.92193,4.24857,0.81985,1.28928,1.42142,0.0099076,0.0099076,0.0099076
30,271.092,1.42827,3.91913,1.05418,0.9737,1.21216,0.85219,0.78238,0.79131,0.32928,0.65841,0.58549,0.48898,0.1724,1.99481,4.65684,0.8276,1.43356,1.41551,0.0099043,0.0099043,0.0099043
31,280.346,1.45727,3.76683,1.0772,0.98278,1.20689,0.82789,0.7513,0.79245,0.33197,0.79999,0.6943,0.67446,0.24653,1.95866,4.11552,0.80698,1.4278,1.40957,0.009901,0.009901,0.009901
32,289.471,1.45923,3.89517,1.07081,0.97458,1.23125,0.83463,0.7513,0.78895,0.31728,0.82151,0.73927,0.72615,0.28383,2.03366,4.04595,0.81167,1.27979,1.42533,0.0098977,0.0098977,0.0098977
33,298.388,1.36089,3.55219,1.02491,0.92881,1.19203,0.83797,0.75032,0.79802,0.34319,0.74013,0.62176,0.60217,0.22207,1.90877,4.387,0.81362,1.25232,1.37724,0.0098944,0.0098944,0.0098944
34,307.33,1.37975,3.7984,1.04085,0.91544,1.19297,0.81783,0.77202,0.77562,0.32865,0.69469,0.56995,0.527,0.17255,2.01296,4.41732,0.80886,1.26788,1.40963,0.0098911,0.0098911,0.0098911
35,316.339,1.38655,3.67795,1.04034,0.93006,1.19325,0.82656,0.78756,0.81039,0.34337,0.73081,0.6114,0.5754,0.19191,1.86376,4.32555,0.79988,1.19889,1.3575,0.0098878,0.0098878,0.0098878
36,325.548,1.36904,3.42495,1.01287,0.95209,1.19542,0.75973,0.68812,0.70009,0.26143,0.78526,0.66315,0.62155,0.23348,2.02119,4.22668,0.79879,1.39405,1.49132,0.0098845,0.0098845,0.0098845
37,333.822,1.40833,3.62042,1.05394,0.97148,1.21502,0.75875,0.7659,0.75926,0.29656,0.76416,0.6943,0.66513,0.26451,1.97569,4.10951,0.79233,1.22815,1.45656,0.0098812,0.0098812,0.0098812
38,342.187,1.38583,3.49585,1.03745,0.94244,1.21011,0.85,0.78238,0.80932,0.31992,0.75146,0.67363,0.60244,0.20692,2.04853,4.23985,0.80888,1.51608,1.47971,0.0098779,0.0098779,0.0098779
39,351.618,1.3683,3.45557,1.02667,0.95135,1.20192,0.78846,0.77249,0.76923,0.33716,0.76195,0.67999,0.62044,0.24524,1.8018,4.18166,0.81306,1.66905,1.43532,0.0098746,0.0098746,0.0098746
40,361.033,1.34319,3.54708,1.02357,0.90157,1.20471,0.80365,0.69948,0.71945,0.27916,0.77054,0.71337,0.66574,0.30359,1.96612,3.8428,0.80318,1.58018,1.4356,0.0098713,0.0098713,0.0098713
41,369.352,1.33521,3.45569,1.01543,0.91581,1.1675,0.78895,0.7772,0.7745,0.31492,0.84848,0.7544,0.77643,0.35572,1.96089,3.59616,0.80667,1.2963,1.4175,0.009868,0.009868,0.009868
42,378.692,1.42499,3.41704,1.03162,0.95236,1.23435,0.85666,0.77416,0.80521,0.32635,0.84757,0.76684,0.7637,0.34515,2.03892,3.55866,0.79309,1.21232,1.44784,0.0098647,0.0098647,0.0098647
43,389.279,1.41844,3.45102,1.02867,0.96443,1.2234,0.76838,0.7735,0.76806,0.3397,0.74726,0.62176,0.65337,0.27628,1.91442,3.96551,0.7908,1.39205,1.42251,0.0098614,0.0098614,0.0098614
44,397.657,1.35174,3.20074,0.99366,0.93803,1.18036,0.70779,0.72539,0.73017,0.28441,0.71573,0.63731,0.61922,0.3266,2.0233,4.0421,0.79489,1.36696,1.46532,0.0098581,0.0098581,0.0098581
45,406.72,1.37828,3.23603,1.02367,0.92859,1.18726,0.8359,0.76543,0.80068,0.2972,0.81449,0.70984,0.70063,0.37613,2.06548,3.59102,0.7927,1.22508,1.45991,0.0098548,0.0098548,0.0098548
46,415.914,1.34522,3.34955,0.99106,0.93483,1.17873,0.7799,0.78756,0.79583,0.33126,0.73773,0.72873,0.70478,0.36908,1.81193,3.46652,0.79775,1.20112,1.33869,0.0098515,0.0098515,0.0098515
47,425.336,1.3489,3.25625,1.03951,0.91731,1.20525,0.81292,0.78803,0.78532,0.37388,0.75786,0.71503,0.67944,0.34781,1.79503,3.63924,0.80146,1.14948,1.35077,0.0098482,0.0098482,0.0098482
48,435.429,1.32623,3.21891,1.03042,0.90789,1.1948,0.82606,0.79275,0.79411,0.34642,0.81352,0.72021,0.70722,0.37718,1.84912,3.55093,0.80299,1.16693,1.38166,0.0098449,0.0098449,0.0098449
49,445.957,1.31849,3.0153,1.01349,0.92395,1.1877,0.82727,0.77202,0.79958,0.32561,0.83755,0.75648,0.74553,0.33172,1.96865,3.59305,0.78628,1.26014,1.42617,0.0098416,0.0098416,0.0098416
50,455.181,1.25863,3.07633,0.97469,0.89993,1.15301,0.79887,0.76684,0.76712,0.29953,0.82991,0.70984,0.74079,0.32964,1.99652,3.58368,0.79793,1.79961,1.45317,0.0098383,0.0098383,0.0098383
51,464.552,1.29709,3.00999,0.98117,0.88672,1.17547,0.84785,0.7772,0.79973,0.29895,0.86516,0.79788,0.79149,0.39158,2.12197,3.32795,0.78643,1.34065,1.4757,0.009835,0.009835,0.009835
52,473.866,1.36549,3.08212,0.98971,0.89519,1.20952,0.83703,0.71851,0.78759,0.34323,0.85502,0.73335,0.76941,0.40811,2.02781,3.21371,0.78624,1.21534,1.41297,0.0098317,0.0098317,0.0098317
53,482.269,1.30894,3.14493,0.98541,0.88688,1.15447,0.80188,0.73057,0.80304,0.36494,0.86611,0.73057,0.75363,0.4064,1.84495,3.2491,0.77323,1.24399,1.35555,0.0098284,0.0098284,0.0098284
54,492.056,1.33064,2.98464,1.00861,0.91507,1.16094,0.84052,0.7919,0.81817,0.40608,0.85168,0.73575,0.74131,0.33836,1.72301,3.5134,0.77279,1.11996,1.33319,0.0098251,0.0098251,0.0098251
55,501.312,1.29589,3.13784,0.96937,0.83964,1.15807,0.85408,0.80311,0.80571,0.32744,0.85679,0.75648,0.77947,0.35451,1.9993,3.33393,0.76246,1.13816,1.43122,0.0098218,0.0098218,0.0098218
56,510.478,1.29424,2.90961,0.9464,0.8439,1.15385,0.86284,0.82902,0.82811,0.39234,0.89281,0.78238,0.8057,0.38974,1.81886,3.12867,0.77101,0.98666,1.33279,0.0098185,0.0098185,0.0098185
57,519.818,1.28628,3.01752,0.9827,0.84002,1.159,0.86534,0.80829,0.82876,0.39647,0.86131,0.77224,0.78709,0.42119,1.76648,3.15225,0.7694,1.00605,1.31828,0.0098152,0.0098152,0.0098152
58,530.363,1.27347,2.86765,0.97705,0.85418,1.15841,0.81082,0.73575,0.80099,0.36222,0.81576,0.71503,0.75407,0.38374,1.87047,3.37279,0.76669,1.13639,1.39679,0.0098119,0.0098119,0.0098119
59,539.293,1.30095,3.02163,0.97892,0.84371,1.15209,0.84325,0.78044,0.8039,0.32642,0.83279,0.70466,0.70403,0.36764,2.03467,3.5256,0.77748,1.10459,1.47805,0.0098086,0.0098086,0.0098086
60,547.774,1.30228,2.83329,0.94271,0.85111,1.14687,0.80753,0.73575,0.73505,0.26582,0.83942,0.76684,0.72886,0.41614,2.24905,3.38256,0.77231,1.30448,1.5772,0.0098053,0.0098053,0.0098053
61,557.078,1.25045,2.77771,0.92676,0.8208,1.13866,0.82245,0.76166,0.75296,0.30163,0.85958,0.78756,0.80494,0.41768,2.20775,3.12788,0.77356,1.10077,1.54759,0.009802,0.009802,0.009802
62,566.312,1.2808,2.8364,0.941,0.79636,1.14647,0.8089,0.7772,0.78879,0.31948,0.85709,0.79793,0.78905,0.40519,2.12728,3.34675,0.7668,1.14336,1.48197,0.0097987,0.0097987,0.0097987
63,575.183,1.27076,2.911,0.97611,0.8147,1.15813,0.79372,0.81347,0.79553,0.33553,0.832,0.76979,0.76976,0.42511,1.98217,3.47638,0.77003,1.09713,1.43104,0.0097954,0.0097954,0.0097954
64,584.5,1.24405,2.96035,0.94948,0.75681,1.13745,0.85165,0.81347,0.8174,0.37722,0.87256,0.78044,0.80042,0.41916,1.92432,3.30647,0.76802,1.12394,1.4116,0.0097921,0.0097921,0.0097921
65,593.567,1.30573,2.95185,0.94034,0.80806,1.16158,0.86146,0.84456,0.85006,0.40705,0.82903,0.80396,0.79276,0.363,1.80718,3.3812,0.76145,1.04795,1.35247,0.0097888,0.0097888,0.0097888
66,602.686,1.25992,2.84145,0.94046,0.79829,1.16118,0.82634,0.78238,0.82619,0.36891,0.79639,0.69948,0.67395,0.38417,1.96382,3.78431,0.76973,1.13714,1.40136,0.0097855,0.0097855,0.0097855
67,610.991,1.28822,2.87579,0.9585,0.83802,1.173,0.8526,0.77923,0.82519,0.37888,0.81357,0.72356,0.70992,0.35881,1.92823,3.52331,0.77531,1.08452,1.43199,0.0097822,0.0097822,0.0097822
68,619.713,1.27495,2.86111,0.91828,0.82239,1.15238,0.83229,0.8342,0.85157,0.44524,0.84482,0.72539,0.75063,0.37058,1.73399,3.37293,0.77885,0.96603,1.35531,0.0097789,0.0097789,0.0097789
69,628.051,1.29472,2.72176,0.91877,0.81749,1.14128,0.87358,0.79793,0.83271,0.43893,0.87608,0.72539,0.75712,0.39166,1.66487,3.35678,0.78113,1.04054,1.335,0.0097756,0.0097756,0.0097756
70,637.053,1.24408,2.7373,0.91207,0.8154,1.13147,0.8762,0.80675,0.8279,0.42286,0.86015,0.79793,0.81193,0.40025,1.67203,3.13641,0.77425,1.26468,1.31865,0.0097723,0.0097723,0.0097723
71,646.16,1.27815,2.8391,0.93671,0.81578,1.14558,0.82893,0.78756,0.77438,0.31649,0.82932,0.77202,0.77811,0.41845,1.85317,3.08593,0.76318,1.86407,1.37458,0.009769,0.009769,0.009769
72,654.506,1.2336,2.81572,0.92341,0.79896,1.13504,0.84604,0.79275,0.80971,0.38537,0.84783,0.77202,0.78026,0.40789,1.82866,3.14568,0.77196,1.11429,1.40237,0.0097657,0.0097657,0.0097657
73,663.341,1.23704,2.714,0.92336,0.77937,1.12171,0.85115,0.78756,0.82674,0.40356,0.85429,0.72909,0.74774,0.34427,1.82122,3.4031,0.77498,1.06764,1.3823,0.0097624,0.0097624,0.0097624
74,672.121,1.24717,2.72485,0.89423,0.78037,1.13467,0.83422,0.76684,0.81669,0.37383,0.87872,0.7884,0.79591,0.39922,1.95752,3.35806,0.76077,1.12595,1.42031,0.0097591,0.0097591,0.0097591
75,680.428,1.25094,2.72434,0.91762,0.78073,1.13038,0.84292,0.79275,0.78557,0.35953,0.83629,0.74093,0.71946,0.36973,1.82816,3.47755,0.76381,1.21148,1.3545,0.0097558,0.0097558,0.0097558
76,689.769,1.21679,2.54542,0.90076,0.7451,1.1245,0.86569,0.82383,0.83443,0.42556,0.84285,0.75034,0.71754,0.37171,1.64722,3.54283,0.7604,1.11501,1.30964,0.0097525,0.0097525,0.0097525
77,699.099,1.22582,2.5908,0.88072,0.76747,1.12579,0.81878,0.8662,0.86476,0.38997,0.88061,0.76439,0.79507,0.40995,1.81214,3.227,0.75302,1.22955,1.38039,0.0097492,0.0097492,0.0097492
